loss,accuracy
2.3830150777816774,0.10148
2.331488818359375,0.09918
2.3247853686332705,0.09968
2.3217452514648436,0.10144
2.319330713443756,0.09866
2.2662692522239687,0.12718
1.9392901543426513,0.27718
1.5790829793643952,0.41766
1.3573100250053405,0.5094
1.1926923266315461,0.57156
